Form,Translation,Base_Stem,Translation_es
wena+ka,vomit,wena-vomit,vomitar
ajpachi+ka,weed,ajpachi-undergrowth,desherbar
mejya+ka,uncover,mejya-cover,destapar
moron+ka,make suffer,moroni-pain,hacer sufrir
mujna+ka,dig out,mujna-grave,desterrar
pata+ka,take out,pata-village,sacar
