ID,Form,Gloss_es,POS,Gloss,Translation,Paradigm,Gramm,Comment,PERT,NPERT,2_Prefix
mare-mare,marë; mare,relativizador (inanimado),part,REL.INAN,REL.INAN,,,,,,
mayawaka,mayawaka,Nombre del demiurgo creador del pueblo y la cultura yawarana,n,M.,M.,,,,,,
mayi-mai,mayi; mai,Vaya!,intj,let’s go,let’s go,,,,,,
michi,michi,"Este, esta, éste , ésta (animado)",det,MED.ANIM,MED.ANIM,,,,,,
michisantomo,michisantomo,"estos, estas (animado)",det,MED.INAN.PL,MED.INAN.PL,,,,,,
michitomo,michitomo,"estos, estas (animado)",det,MED.INAN.PL,MED.INAN.PL,,,,,,
misi,misi,"Este, esta, éste, ésta (objeto inanimado)",det,MED.INAN,MED.INAN,,,,,,
mone,mone,sexo de mujer; vagina,n,vagina,vagina,,,,,,
moneka,moneka,término vocativo para llamar a una niña,n,girl.VOC,girl.VOC,,,,,,
monkontomo-mokontomo-mekontomo-montomo-mokontom,monkontomo; mokontomo; mëkontomo; montomo; mokontom,"Vosotros, vosotras, ustedes",pn,2PL.PRO,2PL.PRO,,,,,,
morone,morone,Doloroso,adv,hurting,hurting,,,,,,
moroni-moron,moroni; moron,Dolor,n,pain,pain,,,,,,
morono,morono,Veneno,n,poison,poison,,,,,,
moto,moto,lombriz de tierra; lombriz intestinal,n,worm,worm,,,,,,
moyochi,moyochi,araña sp.,n,spider (sp.),spider (sp.),,,,,,
mujyane-mujyam,mujyanë; mujyam,"Embarrazada, encinta, preñada, grávida",n,pregnancy,pregnancy,,,,,,
muku,muku,"niño, niña; Hija de un hombre o de una mujer; espíritu del muerto",n,child,child,,,,,,
mune,mune,Bulboso,adv,bulbous,bulbous,,,,,,
munta,munta,Formarse bulbo,vi,budding,budding,,,,,,
mejki,mëjkï,"aquel, aquella (ser animado)",pn,DIST.ANIM,DIST.ANIM,,,,,,
mejnijne,mëjnijne,"aquellos, aquellas (inanimado)",det,DIST.INAN.PL,DIST.INAN.PL,,,,,,
mejni-meni,mëjnï; mënï,"Aquel, aquella, áquel (inanimado)",det,DIST.INAN,DIST.INAN,,,,,,
mekisantomo,mëkïsantomo,"aquellos, aquellas",det,DIST.ANIM.PL,DIST.ANIM.PL,,,,,,
mere,mërë,"Tú, tu, te, ti",pn,2PRO,2PRO,,,,,,
mere,mërë,"Ese, esa, eso (inanimado cerca del otro)",det,MED.INAN,MED.INAN,,,,,,
mijna,mïjna,Por allá (con movimiento),adv,there.ALL,there.ALL,,,,,,
minte,mïntë,Allá (locativo),adv,there.LOC,there.LOC,,,,,,
mira,mïra,"Cuspa, cuspon, cachicamo gigante",n,priodontes maximus,priodontes maximus,,,,,,
najmo,najmo,abuela (materna o paterna),n,grandmother,grandmother,,,,,,old
najpi,najpï,Abuelo paterno o materno,n,grandfather,grandfather,,,,,,
nata,nata,puerta,n,door,door,,,,,,
nepi-nej,nepï; nej,Traer; ir a buscar,vt,bring,bring,,,,,,
nono,nono,"Tierra, barro, arcilla, suelo, piso; fundo , hacienda, territorio",n,earth,earth,,,,,,
nope-nop,nope; nop,"Bueno, bonito, bien",adv,good,good,,,,,,
noro,noro,Loro sp.,n,parrot.sp,parrot.sp,,,,,,
noti,noti,"esposa potencial de un hombre, prima cruzada, amante de un hombre",n,potential partner,potential partner; cross cousin,,,,,,
neme,nëmë,"Dejar (casa, lugar, persona)",vt,leave,leave,,,,,,
ochi,ochi,Ochi,n,O.,O.,,,,,,
ojpa,ojpa,dar de beber,vt,give drink,give drink,,,,,,
oki,okï,Bebida fermentada llamado yarake fuerte; clasificador en el sistema de posesión para referir a jugos de frutas,n,chicha,chicha,,,,,,
onono,onono,"diferente; disitnto;otra cosa, otra persona, otro lugar, algo o alguien diferente",n,another,another,,,,,,
orojyamo,orojyamo,nombre de una especie de demonio o de diablo; espíritu del muerto,n,evil being,evil being,,,,,,
pachi,pachi,"Hermana mayor de una mujer, prima paralela.",n,older sister of woman,older sister of woman,,,,,,
paijku,paijku,Nombre proprio de un cerro,n,P.,P.,,,,,,
paka,paka,"vaca, res, bufalo, ganado",n,cow,cow,,,,,,
pakara,pakara,"Catumare, cesto",n,basket,basket,,,,,,
pakura,pakura,lágrima de San Pedro; bandolera,n,Coix lacryma-jobi,Coix lacryma-jobi,,,,,,
paku,paku,"Punta de metal, flecha con punta de metal",n,arrow tip,arrow tip,,,,,,
pana,pana,Oreja,n,ear,ear,,,,,,
pana,pana,hacia,postp,DAT,DAT,,,,,,
pano,pano,finado,part,FMR,FMR,,,,,,
papa,papa,padre,n,father,father,,,,,,
parujpe,parujpë,caldo,n,broth,broth,,,,,,
pata,pata,"asentamiento, lugar habitado, Fundo, campamento; pueblo",n,village,village,,,,,,
pata,pata,hacha,n,axe,axe,,,,,,
pataka,pataka,"sacar (afuera de la casa, de la barriga)",vt,take out,take out,,,,,,
pene,pene,Pez caribe,n,piranha,piranha,,,,,,
pepoye,pepoye,Por encima de algo (con movimiento),postp,above.PERL,above.PERL,,,,,,
